TDRS Orbit Determination

341 measurements read from tracking data file

Iteration 1

    Date         UTC        Sta   TDRS    obs [km]   comp [km]     o-c [m]
 1999/09/01  10:53:31.000   162     5   79025.3886  79020.2430   5145.58
 1999/09/01  10:54: 1.000   162     5   79131.1707  79125.8327   5338.03
 1999/09/01  10:54:31.000   162     5   79240.4900  79234.9648   5525.17
 1999/09/01  10:55: 1.000   162     5   79353.2019  79347.4970   5704.93
 1999/09/01  10:55:31.000   162     5   79469.1636  79463.2843   5879.28
 1999/09/01  10:56: 1.000   162     5   79588.2277  79582.1802   6047.52
 1999/09/01  10:56:31.000   162     5   79710.2384  79704.0362   6202.24
 1999/09/01  10:57: 1.000   162     5   79835.0543  79828.7026   6351.68
 1999/09/01  10:57:31.000   162     5   79962.5235  79956.0283   6495.25
 1999/09/01  10:58: 1.000   162     5   80092.4930  80085.8613   6631.67
 1999/09/01  10:58:31.000   162     5   80224.8118  80218.0493   6762.52
 1999/09/01  10:59: 1.000   162     5   80359.3199  80352.4391   6880.84
 1999/09/01  12:37:31.000   162     5   79751.1883  79747.4658   3722.52
 1999/09/01  12:38: 1.000   162     5   79814.6476  79810.7359   3911.74
 1999/09/01  12:38:31.000   162     5   79880.9959  79876.9052   4090.70
 1999/09/01  12:39: 1.000   162     5   79950.1692  79945.9009   4268.27
 1999/09/01  12:39:31.000   162     5   80022.0899  80017.6479   4442.04
 1999/09/01  12:40: 1.000   162     5   80096.6822  80092.0687   4613.51
 1999/09/01  12:40:31.000   162     5   80173.8601  80169.0841   4775.98
 1999/09/01  12:41: 1.000   162     5   80253.5478  80248.6130   4934.81
 1999/09/01  12:41:31.000   162     5   80335.6604  80330.5724   5088.03
 1999/09/01  12:42: 1.000   162     5   80420.1167  80414.8777   5238.99
 1999/09/01  12:42:31.000   162     5   80506.8245  80501.4429   5381.57
 1999/09/01  12:43: 1.000   162     5   80595.7002  80590.1806   5519.61
 1999/09/01  12:43:31.000   162     5   80686.6544  80681.0020   5652.44
 1999/09/01  12:44: 1.000   162     5   80779.5954  80773.8171   5778.26
 1999/09/01  12:44:31.000   162     5   80874.4385  80868.5352   5903.29
 1999/09/01  12:45: 1.000   162     5   80971.0810  80965.0643   6016.67
 1999/09/01  12:45:31.000   162     5   81069.4394  81063.3118   6127.59
 1999/09/01  12:46: 1.000   162     5   81169.4148  81163.1843   6230.50
 1999/09/01  12:46:31.000   162     5   81270.9166  81264.5878   6328.79
 1999/09/01  12:47: 1.000   162     5   81373.8486  81367.4279   6420.73
 1999/09/01  12:47:31.000   162     5   81478.1177  81471.6096   6508.09
 1999/09/01  12:48: 1.000   162     5   81583.6250  81577.0379   6587.11
 1999/09/01  12:48:31.000   162     5   81690.2799  81683.6173   6662.57
 1999/09/01  12:49: 1.000   162     5   81797.9820  81791.2525   6729.51
 1999/09/01  12:49:31.000   162     5   81906.6406  81899.8480   6792.57
 1999/09/01  14:24: 1.000   162     5   79219.3171  79215.8027   3514.44
 1999/09/01  14:24:31.000   162     5   79267.4263  79263.6499   3776.39
 1999/09/01  14:25: 1.000   162     5   79319.3591  79315.3244   4034.72
 1999/09/01  14:25:31.000   162     5   79375.0688  79370.7796   4289.22
 1999/09/01  14:26: 1.000   162     5   79434.5055  79429.9648   4540.74
 1999/09/01  14:26:31.000   162     5   79497.6131  79492.8250   4788.14
 1999/09/01  14:27: 1.000   162     5   79564.3306  79559.3011   5029.49
 1999/09/01  14:27:31.000   162     5   79634.5979  79629.3302   5267.72
 1999/09/01  14:28: 1.000   162     5   79708.3432  79702.8452   5497.98
 1999/09/01  14:28:31.000   162     5   79785.4998  79779.7755   5724.26
 1999/09/01  14:29: 1.000   162     5   79865.9897  79860.0468   5942.93
 1999/09/01  14:29:31.000   162     5   79949.7388  79943.5810   6157.76
 1999/09/01  14:30: 1.000   162     5   80036.6633  80030.2971   6366.23
 1999/09/01  14:30:31.000   162     5   80126.6813  80120.1105   6570.83
 1999/09/01  14:31: 1.000   162     5   80219.6991  80212.9334   6765.73
 1999/09/01  14:31:31.000   162     5   80315.6295  80308.6753   6954.24
 1999/09/01  14:32: 1.000   162     5   80414.3789  80407.2427   7136.16
 1999/09/01  14:32:31.000   162     5   80515.8510  80508.5397   7311.32
 1999/09/01  14:33: 1.000   162     5   80619.9480  80612.4675   7480.52
 1999/09/01  14:33:31.000   162     5   80726.5652  80718.9251   7640.08
 1999/09/01  14:34: 1.000   162     5   80835.6035  80827.8094   7794.12
 1999/09/01  14:34:31.000   162     5   80946.9554  80939.0150   7940.42
 1999/09/01  14:35: 1.000   162     5   81060.5108  81052.4347   8076.09
 1999/09/01  14:35:31.000   162     5   81176.1673  81167.9596   8207.73
 1999/09/01  14:36: 1.000   162     5   81293.8078  81285.4790   8328.81
 1999/09/01  14:36:31.000   162     5   81413.3249  81404.8809   8444.00
 1999/09/01  14:37: 1.000   162     5   81534.6008  81526.0519   8548.90
 1999/09/01  14:37:31.000   162     5   81657.5258  81648.8774   8648.37
 1999/09/01  14:38: 1.000   162     5   81781.9788  81773.2419   8736.91
 1999/09/01  16:08: 1.000   162     5   77825.8865  77820.6726   5213.89
 1999/09/01  16:08:31.000   162     5   77893.2156  77887.5871   5628.46
 1999/09/01  16:09: 1.000   162     5   77966.1741  77960.1451   6028.96
 1999/09/01  16:09:31.000   162     5   78044.6853  78038.2604   6424.86
 1999/09/01  16:10: 1.000   162     5   78128.6576  78121.8394   6818.22
 1999/09/01  16:10:31.000   162     5   78217.9764  78210.7810   7195.37
 1999/09/01  16:11: 1.000   162     5   78312.5444  78304.9775   7566.95
 1999/09/01  16:11:31.000   162     5   78412.2454  78404.3140   7931.37
 1999/09/01  16:12: 1.000   162     5   78516.9561  78508.6699   8286.23
 1999/09/01  16:12:31.000   162     5   78626.5446  78617.9175   8627.05
 1999/09/01  16:13: 1.000   162     5   78740.8843  78731.9243   8960.02
 1999/09/01  16:13:31.000   162     5   78859.8341  78850.5517   9282.43
 1999/09/01  16:14: 1.000   162     5   78983.2502  78973.6562   9594.00
 1999/09/01  16:14:31.000   162     5   79110.9844  79101.0896   9894.84
 1999/09/01  16:15: 1.000   162     5   79242.8829  79232.6990  10183.94
 1999/09/01  16:15:31.000   162     5   79378.7866  79368.3275  10459.10
 1999/09/01  16:16: 1.000   162     5   79518.5380  79507.8145  10723.53
 1999/09/01  16:16:31.000   162     5   79661.9697  79650.9957  10973.99
 1999/09/01  16:17:31.000   162     5   79959.2092  79947.7691  11440.13
 1999/09/01  16:18: 1.000   162     5   80112.6707  80101.0185  11652.20
 1999/09/01  16:18:31.000   162     5   80269.1297  80257.2775  11852.23
 1999/09/01  16:19: 1.000   162     5   80428.4110  80416.3693  12041.66
 1999/09/01  16:19:31.000   162     5   80590.3304  80578.1159  12214.50
 1999/09/01  16:20: 1.000   162     5   80754.7115  80742.3376  12373.88
 1999/09/01  16:20:31.000   162     5   80921.3762  80908.8540  12522.21
 1999/09/01  16:21: 1.000   162     5   81090.1399  81077.4837  12656.18
 1999/09/01  16:21:31.000   162     5   81260.8215  81248.0450  12776.46
 1999/09/01  16:22: 1.000   162     5   81433.2408  81420.3560  12884.85
 1999/09/01  17:49: 1.000   162     5   76669.4953  76662.4467   7048.64
 1999/09/01  17:49:31.000   162     5   76757.8890  76750.2925   7596.50
 1999/09/01  17:50: 1.000   162     5   76853.2282  76845.0906   8137.55
 1999/09/01  17:50:31.000   162     5   76955.3735  76946.7013   8672.24
 1999/09/01  17:51: 1.000   162     5   77064.1583  77054.9749   9183.36
 1999/09/01  17:51:31.000   162     5   77179.4433  77169.7533   9690.04
 1999/09/01  17:52: 1.000   162     5   77301.0473  77290.8693  10178.04
 1999/09/01  17:52:31.000   162     5   77428.8011  77418.1479  10653.15
 1999/09/01  17:53: 1.000   162     5   77562.5204  77551.4071  11113.33
 1999/09/01  17:53:31.000   162     5   77702.0165  77690.4569  11559.63
 1999/09/01  17:54: 1.000   162     5   77847.0882  77835.1018  11986.44
 1999/09/01  17:54:31.000   162     5   77997.5419  77985.1401  12401.78
 1999/09/01  17:55: 1.000   162     5   78153.1610  78140.3650  12795.97
 1999/09/01  17:55:31.000   162     5   78313.7387  78300.5648  13173.88
 1999/09/01  17:56: 1.000   162     5   78479.0602  78465.5236  13536.65
 1999/09/01  17:56:31.000   162     5   78648.9032  78635.0216  13881.59
 1999/09/01  17:57: 1.000   162     5   78823.0443  78808.8361  14208.17
 1999/09/01  17:57:31.000   162     5   79001.2563  78986.7415  14514.76
 1999/09/01  17:58:31.000   162     5   79368.9890  79353.9120  15077.04
 1999/09/01  17:59: 1.000   162     5   79558.0468  79542.7164  15330.43
 1999/09/01  17:59:31.000   162     5   79750.2590  79734.6913  15567.67
 1999/09/01  18:00: 1.000   162     5   79945.3862  79929.6044  15781.81
 1999/09/01  18:00:31.000   162     5   80143.2015  80127.2229  15978.59
 1999/09/01  18:01: 1.000   162     5   80343.4728  80327.3145  16158.34
 1999/09/01  18:01:31.000   162     5   80545.9689  80529.6471  16321.78
 1999/09/01  18:02: 1.000   162     5   80750.4526  80733.9898  16462.79
 1999/09/01  18:02:31.000   162     5   80956.7014  80940.1126  16588.80
 1999/09/01  18:03: 1.000   162     5   81164.4829  81147.7870  16695.93
 1999/09/01  19:29: 1.000   162     5   76352.3595  76344.3415   8018.01
 1999/09/01  19:29:31.000   162     5   76449.5188  76440.8777   8641.10
 1999/09/01  19:30: 1.000   162     5   76553.8079  76544.5517   9256.18
 1999/09/01  19:30:31.000   162     5   76665.0429  76655.1962   9846.68
 1999/09/01  19:31: 1.000   162     5   76783.0595  76772.6345  10424.96
 1999/09/01  19:31:31.000   162     5   76907.6724  76896.6813  10991.13
 1999/09/01  19:32: 1.000   162     5   77038.6781  77027.1428  11535.26
 1999/09/01  19:32:31.000   162     5   77175.8828  77163.8182  12064.63
 1999/09/01  19:33: 1.000   162     5   77319.0749  77306.4993  12575.61
 1999/09/01  19:33:31.000   162     5   77468.0398  77454.9719  13067.86
 1999/09/01  19:34: 1.000   162     5   77622.5569  77609.0162  13540.71
 1999/09/01  19:34:31.000   162     5   77782.4061  77768.4073  13998.81
 1999/09/01  19:35: 1.000   162     5   77947.3443  77932.9154  14428.91
 1999/09/01  19:35:31.000   162     5   78117.1508  78102.3074  14843.43
 1999/09/01  19:36: 1.000   162     5   78291.5861  78276.3466  15239.47
 1999/09/01  19:36:31.000   162     5   78470.4051  78454.7938  15611.30
 1999/09/01  19:37: 1.000   162     5   78653.3705  78637.4073  15963.24
 1999/09/01  19:38:31.000   162     5   79224.7029  79207.8066  16896.28
 1999/09/01  19:39: 1.000   162     5   79421.8077  79404.6421  17165.57
 1999/09/01  19:39:31.000   162     5   79621.8337  79604.4196  17414.12
 1999/09/01  19:40: 1.000   162     5   79824.5371  79806.8939  17643.19
 1999/09/01  19:40:31.000   162     5   80029.6679  80011.8209  17846.99
 1999/09/01  19:41: 1.000   162     5   80236.9893  80218.9576  18031.75
 1999/09/01  19:41:31.000   162     5   80446.2609  80428.0623  18198.57
 1999/09/01  19:42: 1.000   162     5   80657.2371  80638.8955  18341.57
 1999/09/01  19:42:31.000   162     5   80869.6854  80851.2196  18465.85
 1999/09/01  19:43: 1.000   162     5   81083.3692  81064.7991  18570.10
 1999/09/01  20:59: 1.000   162     5   76683.0147  76688.8861  -5871.41
 1999/09/01  20:59:31.000   162     5   76628.8807  76634.0889  -5208.22
 1999/09/01  21:00: 1.000   162     5   76581.8190  76586.3714  -4552.35
 1999/09/01  21:00:31.000   162     5   76541.9171  76545.7970  -3879.93
 1999/09/01  21:01: 1.000   162     5   76509.2102  76512.4184  -3208.16
 1999/09/01  21:01:31.000   162     5   76483.7453  76486.2764  -2531.05
 1999/09/01  21:02: 1.000   162     5   76465.5583  76467.4005  -1842.15
 1999/09/01  21:02:31.000   162     5   76454.6419  76455.8085  -1166.58
 1999/09/01  21:03: 1.000   162     5   76451.0226  76451.5065   -483.93
 1999/09/01  21:03:31.000   162     5   76454.6982  76454.4890    209.21
 1999/09/01  21:04: 1.000   162     5   76465.6207  76464.7385    882.17
 1999/09/01  21:04:31.000   162     5   76483.7867  76482.2262   1560.47
 1999/09/01  21:05: 1.000   162     5   76509.1507  76506.9116   2239.13
 1999/09/01  21:05:31.000   162     5   76541.6513  76538.7427   2908.55
 1999/09/01  21:06: 1.000   162     5   76581.2289  76577.6568   3572.13
 1999/09/01  21:06:31.000   162     5   76627.8115  76623.5797   4231.78
 1999/09/01  21:07: 1.000   162     5   76681.3093  76676.4270   4882.29
 1999/09/01  21:07:31.000   162     5   76741.6258  76736.1037   5522.08
 1999/09/01  21:08: 1.000   162     5   76808.6630  76802.5049   6158.10
 1999/09/01  21:08:31.000   162     5   76882.2925  76875.5160   6776.55
 1999/09/01  21:09: 1.000   162     5   76962.3999  76955.0130   7386.86
 1999/09/01  21:09:31.000   162     5   77048.8492  77040.8635   7985.74
 1999/09/01  21:10: 1.000   162     5   77141.4950  77132.9261   8568.86
 1999/09/01  21:10:31.000   162     5   77240.1956  77231.0520   9143.56
 1999/09/01  21:11: 1.000   162     5   77344.7817  77335.0846   9697.07
 1999/09/01  21:11:31.000   162     5   77455.1022  77444.8604  10241.81
 1999/09/01  21:12: 1.000   162     5   77570.9757  77560.2093  10766.41
 1999/09/01  21:12:31.000   162     5   77692.2320  77680.9552  11276.75
 1999/09/01  21:13: 1.000   162     5   77818.6944  77806.9167  11777.74
 1999/09/01  22:51: 1.000   162     5   78278.9842  78272.9055   6078.65
 1999/09/01  22:51:31.000   162     5   78345.9391  78339.3783   6560.75
 1999/09/01  22:52: 1.000   162     5   78417.3558  78410.3229   7032.91
 1999/09/01  22:52:31.000   162     5   78493.1291  78485.6336   7495.52
 1999/09/01  22:53: 1.000   162     5   78573.1467  78565.2003   7946.43
 1999/09/01  22:53:31.000   162     5   78657.2945  78648.9085   8385.97
 1999/09/01  22:54: 1.000   162     5   78745.4541  78736.6399   8814.18
 1999/09/01  22:54:31.000   162     5   78837.5020  78828.2723   9229.74
 1999/09/01  22:55: 1.000   162     5   78933.3126  78923.6799   9632.70
 1999/09/01  22:55:31.000   162     5   79032.7578  79022.7340  10023.80
 1999/09/01  22:56: 1.000   162     5   79135.7045  79125.3028  10401.72
 1999/09/01  22:56:31.000   162     5   79242.0186  79231.2518  10766.78
 1999/09/01  22:57: 1.000   162     5   79351.5622  79340.4445  11117.74
 1999/09/01  22:57:31.000   162     5   79464.1954  79452.7415  11453.94
 1999/09/01  22:58: 1.000   162     5   79579.7772  79568.0022  11775.04
 1999/09/01  22:58:31.000   162     5   79698.1672  79686.0841  12083.06
 1999/09/01  22:59: 1.000   162     5   79819.2209  79806.8436  12377.29
 1999/09/01  22:59:31.000   162     5   79942.7935  79930.1356  12657.85
 1999/09/01  23:00: 1.000   162     5   80068.7369  80055.8145  12922.44
 1999/09/01  23:00:31.000   162     5   80196.9046  80183.7335  13171.06
 1999/09/01  23:01: 1.000   162     5   80327.1522  80313.7460  13406.23
 1999/09/01  23:01:31.000   162     5   80459.3313  80445.7046  13626.73
                                                                      _______
                                                                 Mean 5600.22 m
                                                                 RMS  5439.33 m


Results of iteration 1

  Parameter            a priori   tot.corr. last corr.       final       sigma
  x [m]   User      1476200.00     -62.24     -62.24    1476137.76      12.94
  y [m]   User      5996200.00     110.45     110.45    5996310.45      11.59
  z [m]   User     -3209000.00     275.00     275.00   -3208725.00      17.46
  vx[m/s] User        -3854.00      -0.03      -0.03      -3854.03       0.01
  vy[m/s] User         3778.50      -0.20      -0.20       3778.30       0.02
  vz[m/s] User         5302.20       0.06       0.06       5302.26       0.01
  CD      User            2.30      -0.06      -0.06          2.24       0.11
  CR      User            1.30      -0.00      -0.00          1.30       0.10
  x [m]   TDRS-4   20174293.60       0.01       0.01   20174293.61       0.99
  y [m]   TDRS-4  -37024903.80      -0.01      -0.01  -37024903.81       1.00
  z [m]   TDRS-4    -982925.20       0.00       0.00    -982925.20       1.00
  vx[m/s] TDRS-4       2696.96       0.00       0.00       2696.96       0.00
  vy[m/s] TDRS-4       1471.51       0.00       0.00       1471.51       0.00
  vz[m/s] TDRS-4       -100.53      -0.00      -0.00       -100.53       0.00
  CD      TDRS-4          2.30       0.00      -0.00          2.30       0.00
  CR      TDRS-4          1.39       0.00       0.00          1.39       0.00
  x [m]   TDRS-5  -40783913.50      -1.92      -1.92  -40783915.42      13.56
  y [m]   TDRS-5   10622599.30      12.64      12.64   10622611.94      43.50
  z [m]   TDRS-5     992633.10    -105.31    -105.31     992527.79      55.17
  vx[m/s] TDRS-5       -774.39      -0.00      -0.00       -774.39       0.00
  vy[m/s] TDRS-5      -2976.10       0.00       0.00      -2976.10       0.00
  vz[m/s] TDRS-5         18.90      -0.01      -0.01         18.89       0.00
  CD      TDRS-5          2.30       0.00       0.00          2.30       0.10
  CR      TDRS-5          1.41       0.14       0.14          1.55       0.04


Iteration 2

    Date         UTC        Sta   TDRS    obs [km]   comp [km]     o-c [m]
 1999/09/01  00:22: 1.000   162     5   79010.2586  79010.2582      0.39
